  *WEL.ASC - RUE                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation       : 13.10.2015 11:30 Uhr
   Wellenausgabe - Verzweigung: RUE             
  
   Datum   Zeit    Qtr_zu    Qzu    Qtr_ab1    Qab1   Qtr_ab2    Qab2    CSzu(3)   CSab1(3)   CSab2(3)
     -      -      cbm/s    cbm/s    cbm/s    cbm/s    cbm/s    cbm/s      mg/l       mg/l       mg/l
 19700623 16:00    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 16:05    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 16:10    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 16:15    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 16:20    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 16:25    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 16:30    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 16:35    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 16:40    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 16:45    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 16:50    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 16:55    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 17:00    0.014    0.014    0.014    0.014    0.000    0.000    957.467    957.467    957.467       F T
 19700623 17:05    0.014    0.014    0.014    0.014    0.000    0.000    962.383    962.383    962.383       F T
 19700623 17:10    0.014    0.014    0.014    0.014    0.000    0.000    963.733    963.733    963.733       F T
 19700623 17:15    0.014    0.014    0.014    0.014    0.000    0.000    964.357    964.357    964.357       F T
 19700623 17:20    0.014    0.014    0.014    0.014    0.000    0.000    964.938    964.938    964.938       F T
 19700623 17:25    0.014    0.014    0.014    0.014    0.000    0.000    965.297    965.297    965.297       F T
 19700623 17:30    0.014    0.014    0.014    0.014    0.000    0.000    965.428    965.428    965.428       F T
 19700623 17:35    0.014    0.014    0.014    0.014    0.000    0.000    965.459    965.459    965.459       F T
 19700623 17:40    0.014    0.014    0.014    0.014    0.000    0.000    965.465    965.465    965.465       F T
 19700623 17:45    0.014    0.014    0.014    0.014    0.000    0.000    965.465    965.465    965.465       F T
 19700623 17:50    0.014    0.014    0.014    0.014    0.000    0.000    965.465    965.465    965.465       F T
 19700623 17:55    0.014    0.014    0.014    0.014    0.000    0.000    965.465    965.465    965.465       F T
 19700623 18:00    0.019    0.019    0.019    0.019    0.000    0.000    994.911    994.911    994.911       F T
 19700623 18:05    0.021    0.021    0.021    0.021    0.000    0.000   1002.010   1002.010   1002.010       F T
 19700623 18:10    0.021    0.021    0.021    0.021    0.000    0.000   1004.019   1004.019   1004.019       F T
 19700623 18:15    0.021    0.021    0.021    0.021    0.000    0.000   1005.600   1005.600   1005.600       F T
 19700623 18:20    0.021    0.021    0.021    0.021    0.000    0.000   1007.015   1007.015   1007.015       F T
 19700623 18:25    0.021    0.021    0.021    0.021    0.000    0.000   1007.754   1007.754   1007.754       F T
 19700623 18:30    0.021    0.021    0.021    0.021    0.000    0.000   1007.990   1007.990   1007.990       F T
 19700623 18:35    0.021    0.021    0.021    0.021    0.000    0.000   1008.040   1008.040   1008.040       F T
 19700623 18:40    0.021    0.021    0.021    0.021    0.000    0.000   1008.049   1008.049   1008.049       F T
 19700623 18:45    0.021    0.021    0.021    0.021    0.000    0.000   1008.050   1008.050   1008.050       F T
 19700623 18:50    0.021    0.021    0.021    0.021    0.000    0.000   1008.050   1008.050   1008.050       F T
 19700623 18:55    0.021    0.021    0.021    0.021    0.000    0.000   1008.050   1008.050   1008.050       F T
 19700623 19:00    0.023    0.023    0.023    0.023    0.000    0.000   1013.836   1013.836   1013.836       F T
 19700623 19:05    0.023    0.023    0.023    0.023    0.000    0.000   1015.383   1015.383   1015.383       F T
 19700623 19:10    0.023    0.023    0.023    0.023    0.000    0.000   1015.820   1015.820   1015.820       F T
 19700623 19:15    0.023    0.023    0.023    0.023    0.000    0.000   1016.133   1016.133   1016.133       F T
 19700623 19:20    0.023    0.023    0.023    0.023    0.000    0.000   1016.376   1016.376   1016.376       F T
 19700623 19:25    0.023    0.023    0.023    0.023    0.000    0.000   1016.493   1016.493   1016.493       F T
 19700623 19:30    0.023    0.023    0.023    0.023    0.000    0.000   1016.530   1016.530   1016.530       F T
 19700623 19:35    0.023    0.023    0.023    0.023    0.000    0.000   1016.537   1016.537   1016.537       F T
